@RELATION credit

@ATTRIBUTE person_age NUMERIC
@ATTRIBUTE person_income NUMERIC
@ATTRIBUTE person_home_ownership {RENT,OWN,MORTGAGE,OTHER}
@ATTRIBUTE person_emp_length NUMERIC
@ATTRIBUTE loan_grade {A,B,C,D,E,F,G}

@DATA
22,59000,RENT,3,D
21,9600,OWN,5,B
25,9600,MORTGAGE,1,C
23,65500,RENT,4,C
24,54400,RENT,8,C
21,9900,OWN,2,A
26,77100,RENT,8,B
24,78956,RENT,5,B
24,83000,RENT,8,A
21,10000,OWN,6,D
22,85000,RENT,6,B
21,10000,OWN,2,A
23,95000,RENT,2,A
26,108160,RENT,4,E
23,115000,RENT,2,A
23,500000,MORTGAGE,7,B
23,120000,RENT,0,A
23,92111,RENT,7,F
23,113000,RENT,8,D
24,10800,MORTGAGE,8,B
25,162500,RENT,2,A
25,137000,RENT,9,E
22,65000,RENT,4,D
24,10980,OWN,0,A
22,80000,RENT,3,D
24,67746,RENT,8,C
21,11000,MORTGAGE,3,E
23,11000,OWN,0,A
24,65000,RENT,6,B
21,11389,OTHER,5,C
21,11520,OWN,5,B
25,120000,RENT,2,A
26,95000,RENT,7,C
25,306000,RENT,2,C
26,300000,MORTGAGE,10,C
21,12000,OWN,5,A
22,48000,RENT,1,E
24,64000,RENT,8,D
25,75000,RENT,4,D
23,71500,RENT,3,D
26,62050,RENT,6,E
24,12000,OWN,4,B
26,300000,MORTGAGE,10,A
23,300000,OWN,1,F
26,300000,OWN,9,B
26,300000,MORTGAGE,0,D
25,300000,MORTGAGE,9,E
26,80690,RENT,8,A
22,66300,RENT,4,B
26,89028,RENT,0,A
24,78000,RENT,4,D
23,78000,RENT,7,F
23,92004,RENT,6,C
23,97000,RENT,7,B
25,120000,RENT,9,A
26,280000,RENT,4,C
26,277104,RENT,0,B
23,277000,OWN,3,A
25,128000,RENT,9,A
24,12000,OWN,2,E
21,131000,RENT,0,A
22,275000,OWN,6,B
26,263000,MORTGAGE,0,B
25,221850,MORTGAGE,9,D
22,70000,RENT,6,D
22,12000,MORTGAGE,7,D
26,260000,OWN,10,B
25,259000,MORTGAGE,9,D
24,255000,MORTGAGE,9,A
25,250000,RENT,2,C
25,12000,OWN,0,C
22,56950,RENT,6,A
21,12000,OWN,6,C
23,65000,RENT,2,A
26,85000,RENT,2,A
26,12000,OWN,2,A
22,88000,RENT,6,B
21,12000,OWN,0,C
22,12000,OWN,6,A
24,83004,RENT,0,D
24,250000,RENT,2,C
144,250000,RENT,4,C
25,100000,RENT,5,B
26,110000,RENT,10,A
26,12000,OWN,0,A
22,108000,RENT,6,B
23,151200,RENT,7,B
24,69000,RENT,2,A
21,12000,MORTGAGE,5,E
22,70000,RENT,4,C
22,240000,OWN,6,B
26,73200,RENT,5,D
24,83000,RENT,5,C
24,73399,RENT,0,D
23,62500,RENT,7,B
23,120000,RENT,1,B
24,12360,OWN,2,C
22,60000,RENT,0,B
25,234000,MORTGAGE,3,C
24,234000,OWN,8,B
26,234000,MORTGAGE,10,B
25,221004,MORTGAGE,6,D
26,232500,MORTGAGE,0,C
25,230000,MORTGAGE,5,C
23,83000,RENT,7,B
22,12600,MORTGAGE,3,A
25,12600,OWN,3,C
21,42500,RENT,3,C
24,41000,RENT,2,D
25,12816,OWN,0,C
24,12960,MORTGAGE,1,B
26,226000,MORTGAGE,4,B
25,225000,MORTGAGE,0,E
26,213000,MORTGAGE,6,B
24,225000,RENT,0,B
24,12960,MORTGAGE,0,B
23,12996,OWN,0,C
22,42000,RENT,6,D
26,48000,RENT,2,B
25,12996,OWN,1,D
22,12996,OWN,1,B
25,42360,RENT,1,E
21,49000,RENT,4,B
25,225000,MORTGAGE,0,F
26,225000,RENT,1,A
23,225000,RENT,8,A
26,225000,MORTGAGE,2,B
22,49464,RENT,5,B
23,50000,RENT,1,A
25,50000,RENT,4,A
24,44000,RENT,2,D
23,50000,RENT,1,B
22,50004,RENT,0,B
22,50004,RENT,3,C
22,52000,RENT,2,B
23,13200,OWN,3,A
24,220000,MORTGAGE,1,B
23,216000,MORTGAGE,5,A
25,216000,MORTGAGE,2,D
26,216000,MORTGAGE,10,C
23,215000,MORTGAGE,7,C
26,215000,MORTGAGE,11,A
23,52000,RENT,1,C
26,46000,RENT,2,D
22,53000,RENT,5,C
26,47000,RENT,0,D
23,47000,RENT,1,E
23,13200,MORTGAGE,2,B
21,13200,OWN,0,C
22,210000,MORTGAGE,6,B
26,210000,OWN,10,B
26,48000,RENT,5,F
22,54996,RENT,6,B
24,55000,RENT,4,D
23,55000,RENT,4,B
23,55000,RENT,4,D
24,55164,RENT,8,C
26,56000,RENT,4,C
24,203500,OWN,8,C
23,190000,MORTGAGE,5,F
23,13920,OWN,2,E
24,60000,RENT,0,B
24,60000,RENT,2,B
26,54000,RENT,7,D
23,14000,OWN,2,D
24,200000,RENT,8,B
24,200000,MORTGAGE,8,C
21,200000,MORTGAGE,5,C
25,54000,RENT,3,E
23,60000,RENT,3,C
23,60000,RENT,7,B
21,60000,RENT,6,B
25,61959,RENT,9,C
22,56400,RENT,2,D
23,200000,MORTGAGE,7,A
21,200000,MORTGAGE,2,C
24,200000,MORTGAGE,3,A
26,200000,MORTGAGE,4,C
25,200000,MORTGAGE,2,B
24,200000,RENT,8,A
24,66000,RENT,3,B
22,66000,RENT,6,C
22,200000,MORTGAGE,6,A
144,200000,MORTGAGE,4,B
25,200000,RENT,5,D
25,200000,MORTGAGE,2,B
25,200000,MORTGAGE,9,C
24,200000,MORTGAGE,8,B
24,60000,RENT,2,E
21,14400,OWN,0,B
26,66996,RENT,10,D
23,67000,RENT,3,A
24,67000,RENT,2,B
24,68000,RENT,5,D
25,69000,RENT,9,D
25,200000,MORTGAGE,0,B
26,188000,MORTGAGE,10,E
26,200000,MORTGAGE,4,C
25,69996,RENT,9,D
22,14400,OWN,2,B
24,70000,RENT,3,B
24,14400,OWN,5,A
24,56100,RENT,7,D
25,66000,RENT,9,D
26,66000,RENT,3,B
25,14400,OWN,7,A
25,72612,RENT,9,C
23,74000,RENT,3,B
25,75000,RENT,9,B
24,192000,RENT,0,C
21,192000,MORTGAGE,123,A
25,191000,MORTGAGE,1,B
26,190300,MORTGAGE,5,A
22,190000,MORTGAGE,3,C
24,75000,RENT,4,B
22,71000,RENT,1,D
26,190000,MORTGAGE,3,B
23,189996,OWN,0,B
23,78000,RENT,7,C
23,78000,RENT,1,B
23,78504,RENT,7,B
25,186000,OWN,9,B
24,185000,MORTGAGE,1,B
25,185000,RENT,6,C
24,62050,RENT,8,D
23,79416,RENT,7,D
21,14400,OWN,4,C
24,79631,RENT,8,D
24,79632,RENT,0,C
21,14400,MORTGAGE,0,C
24,80000,RENT,6,A
26,80000,RENT,5,C
22,185000,RENT,4,B
26,185000,OWN,10,A
24,184992,RENT,7,D
23,184000,OWN,5,B
24,172000,MORTGAGE,6,C
24,183000,MORTGAGE,2,B
22,183000,MORTGAGE,3,A
25,182952,MORTGAGE,9,A
23,74004,RENT,7,E
26,74004,RENT,10,D
25,81000,RENT,5,A
23,81600,RENT,1,B
24,82000,RENT,8,B
24,83000,RENT,5,B
24,83000,RENT,5,D
24,180000,RENT,8,E
23,180000,MORTGAGE,8,A
23,14400,OWN,2,E
22,14400,OWN,0,B
22,84500,RENT,6,F
24,85000,RENT,5,B
24,180000,MORTGAGE,7,B
26,180000,MORTGAGE,2,B
25,142800,MORTGAGE,9,F
23,14664,MORTGAGE,0,C
24,87000,RENT,8,D
24,75000,RENT,0,E
23,76000,RENT,7,D
23,66215,RENT,1,D
25,90000,RENT,9,B
21,15000,OWN,0,A
26,180000,OWN,2,B
24,180000,OWN,8,B
25,180000,OWN,9,C
26,180000,OWN,0,A
25,180000,MORTGAGE,3,B
23,15000,OWN,7,B
23,78000,RENT,2,D
25,66300,RENT,3,E
23,90000,RENT,0,B
24,79000,RENT,9,D
24,91800,RENT,4,C
25,92000,RENT,6,B
24,92000,RENT,1,C
23,93600,RENT,3,D
23,15000,MORTGAGE,1,C
23,70550,RENT,3,F
25,83800,RENT,2,D
26,175000,MORTGAGE,3,A
25,175000,MORTGAGE,10,A
22,175000,MORTGAGE,6,B
23,175000,MORTGAGE,8,B
23,15000,OWN,4,C
23,15000,OWN,4,B
22,88000,RENT,6,D
25,74800,RENT,2,B
25,88000,RENT,0,D
25,15000,OWN,2,D
26,88000,RENT,2,D
25,100000,RENT,1,B
23,15000,MORTGAGE,0,C
24,102400,RENT,8,B
24,92000,RENT,1,E
23,93000,RENT,0,D
22,175000,RENT,6,C
23,175000,MORTGAGE,3,A
25,174708,RENT,9,B
25,174000,MORTGAGE,2,C
26,174000,RENT,8,B
25,162000,MORTGAGE,5,E
26,173467,MORTGAGE,10,B
21,15000,OWN,0,C
25,96000,RENT,2,E
21,15120,MORTGAGE,0,B
24,97908,RENT,8,D
26,110000,RENT,3,C
23,15204,MORTGAGE,7,A
25,159600,RENT,0,D
24,171500,RENT,6,A
25,170004,MORTGAGE,3,B
24,158004,RENT,0,D
26,170000,RENT,0,B
24,83300,RENT,0,D
24,110000,RENT,7,D
22,15360,OWN,7,B
25,134300,RENT,3,D
25,170000,MORTGAGE,2,A
22,100580,RENT,6,D
25,113000,RENT,7,C
24,120000,RENT,8,B
25,120000,RENT,6,B
23,120000,RENT,7,B
24,91800,RENT,5,D
21,15600,OWN,5,A
26,108000,RENT,2,D
26,129996,RENT,6,B
23,130000,RENT,4,D
23,130000,RENT,7,B
25,170000,OWN,4,B
26,170000,MORTGAGE,0,C
22,169000,RENT,1,B
26,168750,RENT,10,C
23,168600,RENT,3,B
24,168288,RENT,5,B
25,168000,MORTGAGE,2,B
24,133300,RENT,6,B
24,15600,OWN,5,A
24,134000,RENT,8,D
25,134000,RENT,7,B
25,15600,OWN,0,F
25,135000,RENT,5,B
26,135660,RENT,10,B
25,145000,RENT,0,B
23,150000,RENT,4,B
23,165000,MORTGAGE,3,A
22,153000,MORTGAGE,5,D
24,165000,MORTGAGE,5,B
25,165000,MORTGAGE,0,F
21,165000,MORTGAGE,5,A
23,16000,OWN,7,A
23,16000,MORTGAGE,3,C
23,16000,OWN,7,A
23,148000,RENT,1,E
23,16000,MORTGAGE,1,C
24,16020,OWN,3,E
22,16094,MORTGAGE,2,A
25,175000,RENT,2,A
22,16200,OWN,6,B
24,185000,RENT,7,C
25,162000,RENT,9,C
26,161000,RENT,10,A
22,160000,MORTGAGE,0,B
25,225000,RENT,5,B
25,16400,OWN,1,A
23,16500,OWN,6,B
25,49500,RENT,6,C
23,60000,RENT,4,B
24,84200,RENT,8,C
22,16800,MORTGAGE,5,B
24,92000,RENT,8,B
23,160000,MORTGAGE,5,A
24,160000,MORTGAGE,9,E
25,160000,MORTGAGE,1,B
26,160000,RENT,6,C
25,125800,MORTGAGE,0,D
25,54000,RENT,2,C
23,62500,RENT,1,B
24,16800,MORTGAGE,4,A
25,68400,RENT,9,E
26,56045,RENT,1,D
22,74000,RENT,7,D
24,65453,RENT,9,D
24,89908,RENT,1,B
26,78000,RENT,0,E
23,100000,RENT,0,C
23,103000,RENT,6,D
25,160000,MORTGAGE,2,A
25,160000,OWN,5,B
24,160000,MORTGAGE,3,D
23,160000,MORTGAGE,2,D
26,160000,MORTGAGE,0,C
21,160000,MORTGAGE,3,D
25,160000,MORTGAGE,3,C
22,16800,MORTGAGE,0,C
25,111996,RENT,9,D
21,16800,MORTGAGE,0,B
25,115200,RENT,0,B
23,144000,RENT,0,B
23,287000,RENT,3,B
22,108000,RENT,1,D
22,43000,RENT,7,C
23,47004,RENT,1,B
24,48000,RENT,4,D
26,48000,RENT,4,A
21,44964,RENT,2,D
25,52000,RENT,4,B
22,17352,MORTGAGE,4,C
24,47000,RENT,3,F
22,17400,MORTGAGE,6,B
22,49000,RENT,2,E
26,60000,RENT,0,A
25,60000,RENT,3,B
22,60000,RENT,0,A
21,60000,RENT,5,B
26,62004,RENT,9,A
22,62400,RENT,3,D
26,65000,RENT,10,A
22,17760,MORTGAGE,6,C
23,59000,RENT,5,E
23,66000,RENT,6,A
24,60000,RENT,0,D
25,66143,RENT,9,A
22,62250,RENT,3,E
24,70000,RENT,8,B
23,74000,RENT,7,B
22,18000,OWN,3,A
22,75000,RENT,6,B
24,75000,RENT,9,B
24,75000,RENT,7,C
26,69000,RENT,0,F
23,78000,RENT,4,C
22,18000,OWN,4,B
24,80000,RENT,2,B
22,18000,OWN,1,A
23,18000,OWN,3,A
23,74700,RENT,6,D
26,88596,RENT,3,B
25,95000,RENT,4,A
22,83000,RENT,6,E
